"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-01","50","60","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-02","51","54","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-03","52","53","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-04","55","62","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-05","52","58","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-06","48","56","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-07","51","58","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-08","53","58","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-09","51","61","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-10","51","58","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-11","52","61","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-12","53","58","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-13","56","68","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-14","56","69","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-15","54","63","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-16","57","67","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-17","56","74","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-18","60","74","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-19","62","66","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-20","55","67","47"
