"STATION","NAME","DATE","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-01","60","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-02","54","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-03","53","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-04","62","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-05","58","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-06","56","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-07","58","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-08","58","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-09","61","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-10","58","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-11","61","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-12","58","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-13","68","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-14","69","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-15","63","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-16","67","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-17","74","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-18","74","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-19","66","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-20","67","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-21","58","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-22","55","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-23","57","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-24","53","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-25","54","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-26","52","39"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-27","55","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-28","54","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-29","57","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-30","58","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01-31","61","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-01","65","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-02","61","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-03","59","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-04","62","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-05","67","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-06","67","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-07","67","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-08","58","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-09","60","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-10","62","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-11","57","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-12","60","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-13","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-14","58","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-15","59","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-16","58","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-17","64","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-18","65","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-19","60","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-20","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-21","64","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-22","72","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-23","76","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-24","71","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-25","66","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-26","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-27","61","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02-28","69","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-01","69","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-02","65","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-03","64","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-04","63","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-05","65","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-06","58","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-07","60","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-08","59","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-09","60","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-10","56","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-11","59","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-12","65","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-13","56","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-14","58","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-15","55","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-16","57","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-17","56","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-18","58","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-19","61","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-20","58","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-21","61","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-22","61","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-23","66","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-24","69","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-25","60","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-26","71","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-27","77","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-28","68","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-29","63","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-30","77","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03-31","81","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-01","84","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-02","70","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-03","63","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-04","62","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-05","57","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-06","63","50"
